,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
41724,NW223OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41975,NW123OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41988,NW123OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
42275,NS923NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
42330,NS923NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
42506,NS823NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
42530,NS823NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
42551,MY123HL,3,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42552,MY123HL,6,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42557,MY123HL,9,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42558,MY123HL,7,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42559,MY123HL,5,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42561,MY123HL,1,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42562,MY123HL,2,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42580,MY123HL,4,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42754,NS723NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
42869,NS523NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
42906,EX223HL,2,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42909,EX223HL,1,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42912,EX223HL,6,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
42932,NS523NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
43093,NS423NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
43215,NS323NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
43363,HD323GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43364,HD323GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43371,HD323GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43723,HD423GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43724,HD423GN,2,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
43731,HD423GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
